t= 0 , t= 5 , t= 10 , t= 15 , t= 20 , t= 25 , t= 30 , t= 35 , t= 40 , t= 45 , t= 50 , t= 55 , t= 60 , t= 65 , t= 70 , t= 75 , t= 80 , t= 85 , t= 90 , t= 95 , t= 100 , t= 105 , t= 110 , t= 115 , t= 120 , t= 125 , t= 130 , t= 135 , t= 140 , t= 145 , t= 150 , t= 155 , t= 160 , t= 165 , t= 170 , t= 175 , t= 180 , t= 185 , t= 190 , t= 195 , t= 200 , t= 205 , t= 210 , t= 215 , t= 220 , t= 225 , t= 230 , t= 235 , t= 240 , t= 245 , t= 250 , t= 255 , t= 260 , t= 265 , t= 270 , t= 275 , t= 280 , t= 285 , t= 290 , t= 295 , t= 300 , t= 305 , t= 310 , t= 315 , t= 320 , t= 325 , t= 330 , t= 335 , t= 340 , t= 345 , t= 350 , t= 355 , t= 360 , t= 365 , t= 370 , t= 375 , t= 380 , t= 385 , t= 390 , t= 395 , t= 400 , t= 405 , t= 410 , t= 415 , t= 420 , t= 425 , t= 430 , t= 435 , t= 440 , t= 445 , t= 450 , t= 455 , t= 460 , t= 465 , t= 470 , t= 475 , t= 480 , t= 485 , t= 490 , t= 495 , t= 500 , t= 505 , t= 510 , t= 515 , t= 520 , t= 525 , t= 530 , t= 535 , t= 540 , t= 545 , t= 550 , t= 555 , t= 560 , t= 565 , t= 570 , t= 575 , t= 580 , t= 585 , t= 590 , t= 595 , t= 600 , t= 605 , t= 610 , t= 615 , t= 620 , t= 625 , t= 630 , t= 635 , t= 640 , t= 645 , t= 650 , t= 655 , t= 660 , t= 665 , t= 670 , t= 675 , t= 680 , t= 685 , t= 690 , t= 695 , t= 700 , t= 705 , t= 710 , t= 715 , t= 720 , t= 725 , 
25.5 , 25.4264 , 25.4165 , 25.4272 , 25.4608 , 25.5508 , 25.6925 , 25.8337 , 25.9286 , 25.9862 , 26.042 , 26.1306 , 26.3988 , 26.6966 , 26.9406 , 27.1222 , 27.306 , 29.0397 , 31.1643 , 31.8117 , 33.9892 , 37.0302 , 41.3663 , 45.1255 , 47.6914 , 40.2631 , 50.8547 , 62.7282 , 67.6871 , 74.0585 , 83.4474 , 104.907 , 104.652 , 116.248 , 132.271 , 125.743 , 117.699 , 131.084 , 139.4 , 141.906 , 162.028 , 181.261 , 138.175 , 157.057 , 176.199 , 173.533 , 170.987 , 169.705 , 167.335 , 166.088 , 162.917 , 133.139 , 76.9174 , 65.61 , 62.3344 , 62.4526 , 157.783 , 135.078 , 153.427 , 138.474 , 149.968 , 147.613 , 144.622 , 141.721 , 138.509 , 134.964 , 131.033 , 128.384 , 127.698 , 124.92 , 133.096 , 135.249 , 137.585 , 140.8 , 144.32 , 145.115 , 145.853 , 148.066 , 150.797 , 153.781 , 156.63 , 158.953 , 161.16 , 164.336 , 167.371 , 170.04 , 170.934 , 173.006 , 176.317 , 179.319 , 182.121 , 184.659 , 187.865 , 190.293 , 190.992 , 193.293 , 195.054 , 197.922 , 200.829 , 202.977 , 205.117 , 208.324 , 210.725 , 213.483 , 215.993 , 218.165 , 220.368 , 222.491 , 225.38 , 226.86 , 229.367 , 229.87 , 229.921 , 230.738 , 230.842 , 230.73 , 231.405 , 233.037 , 233.128 , 232.445 , 230.806 , 230.295 , 229.21 , 228.224 , 226.931 , 225.513 , 224.252 , 222.431 , 221.037 , 219.41 , 217.85 , 216.264 , 214.489 , 212.728 , 211.096 , 209.514 , 207.901 , 206.334 , 204.805 , 203.284 , 201.795 , 200.331 , 198.895 , 197.625 , 195.983 , 195.983 , 
25.5 , 25.4264 , 25.4165 , 25.4272 , 25.4608 , 25.5508 , 25.6925 , 25.8337 , 25.9286 , 25.9863 , 26.0421 , 26.1307 , 26.3988 , 26.6967 , 26.9407 , 27.1223 , 27.3061 , 29.0399 , 31.1646 , 31.8121 , 33.9897 , 37.0309 , 41.3672 , 45.1267 , 47.6927 , 40.2643 , 50.856 , 62.7304 , 67.6896 , 74.0614 , 83.4508 , 104.912 , 104.657 , 116.253 , 132.276 , 125.749 , 117.704 , 131.089 , 139.406 , 141.912 , 162.035 , 181.302 , 138.179 , 157.062 , 174.86 , 173.503 , 170.992 , 170.017 , 167.64 , 166.147 , 162.767 , 133.135 , 76.9179 , 65.6101 , 62.3342 , 62.4524 , 158.093 , 135.084 , 153.41 , 138.457 , 149.148 , 146.913 , 144.685 , 141.891 , 138.405 , 134.664 , 131.138 , 128.405 , 127.719 , 124.939 , 133.122 , 135.277 , 137.615 , 140.833 , 144.355 , 145.149 , 145.886 , 148.099 , 150.832 , 153.817 , 156.668 , 158.99 , 161.197 , 164.375 , 167.412 , 170.081 , 170.97 , 173.042 , 176.356 , 179.36 , 182.162 , 184.7 , 187.908 , 190.335 , 191.026 , 193.327 , 195.086 , 197.958 , 200.868 , 203.015 , 205.153 , 208.365 , 210.765 , 213.524 , 216.033 , 218.204 , 220.405 , 222.527 , 225.42 , 226.894 , 229.403 , 229.895 , 229.935 , 230.752 , 230.85 , 230.734 , 231.412 , 233.052 , 233.138 , 232.445 , 230.795 , 230.285 , 229.197 , 228.21 , 226.914 , 225.494 , 224.232 , 222.408 , 221.015 , 219.386 , 217.826 , 216.24 , 214.463 , 212.702 , 211.07 , 209.489 , 207.876 , 206.309 , 204.781 , 203.261 , 201.772 , 200.308 , 198.872 , 197.603 , 195.96 , 195.96 , 
25.5 , 25.4264 , 25.4165 , 25.4272 , 25.4608 , 25.5508 , 25.6925 , 25.8337 , 25.9287 , 25.9863 , 26.0421 , 26.1308 , 26.3989 , 26.6968 , 26.9408 , 27.1225 , 27.3063 , 29.0402 , 31.1652 , 31.8127 , 33.9905 , 37.0321 , 41.3688 , 45.1288 , 47.6951 , 40.2663 , 50.8581 , 62.7341 , 67.694 , 74.0664 , 83.4565 , 104.919 , 104.666 , 116.262 , 132.287 , 125.759 , 117.713 , 131.098 , 139.416 , 141.922 , 162.046 , 181.849 , 138.186 , 157.071 , 175.941 , 173.45 , 171.001 , 170.022 , 167.612 , 165.973 , 162.3 , 133.127 , 76.9187 , 65.6103 , 62.334 , 62.452 , 157.985 , 135.091 , 153.99 , 138.427 , 149.182 , 147.724 , 144.628 , 141.887 , 138.622 , 134.739 , 130.722 , 128.433 , 127.749 , 124.965 , 133.157 , 135.315 , 137.655 , 140.877 , 144.403 , 145.195 , 145.929 , 148.143 , 150.878 , 153.866 , 156.718 , 159.04 , 161.246 , 164.427 , 167.465 , 170.135 , 171.017 , 173.087 , 176.406 , 179.412 , 182.215 , 184.752 , 187.963 , 190.388 , 191.069 , 193.37 , 195.127 , 198.003 , 200.916 , 203.061 , 205.198 , 208.416 , 210.814 , 213.575 , 216.084 , 218.251 , 220.45 , 222.571 , 225.469 , 226.935 , 229.447 , 229.924 , 229.953 , 230.768 , 230.86 , 230.738 , 231.42 , 233.07 , 233.149 , 232.446 , 230.781 , 230.272 , 229.181 , 228.192 , 226.894 , 225.471 , 224.209 , 222.379 , 220.987 , 219.357 , 217.797 , 216.211 , 214.432 , 212.67 , 211.038 , 209.458 , 207.845 , 206.279 , 204.751 , 203.231 , 201.743 , 200.28 , 198.844 , 197.577 , 195.932 , 195.932 , 
25.5 , 25.4264 , 25.4165 , 25.4272 , 25.4608 , 25.5509 , 25.6926 , 25.8338 , 25.9287 , 25.9864 , 26.0422 , 26.1308 , 26.399 , 26.697 , 26.941 , 27.1227 , 27.3066 , 29.0406 , 31.1659 , 31.8135 , 33.9916 , 37.0336 , 41.3708 , 45.1314 , 47.6982 , 40.269 , 50.8609 , 62.7388 , 67.6995 , 74.0728 , 83.464 , 104.928 , 104.676 , 116.273 , 132.299 , 125.771 , 117.724 , 131.11 , 139.429 , 141.936 , 162.061 , 181.887 , 138.195 , 157.083 , 175.996 , 173.383 , 171.013 , 170.494 , 168.226 , 166.058 , 161.795 , 133.114 , 76.9198 , 65.6106 , 62.3336 , 62.4515 , 157.362 , 135.098 , 153.712 , 138.388 , 149.154 , 147.257 , 144.343 , 141.747 , 138.31 , 134.792 , 130.732 , 128.465 , 127.782 , 124.994 , 133.196 , 135.357 , 137.699 , 140.925 , 144.455 , 145.246 , 145.977 , 148.191 , 150.928 , 153.918 , 156.772 , 159.094 , 161.3 , 164.482 , 167.522 , 170.192 , 171.068 , 173.136 , 176.458 , 179.467 , 182.271 , 184.807 , 188.021 , 190.444 , 191.114 , 193.415 , 195.17 , 198.05 , 200.967 , 203.11 , 205.245 , 208.468 , 210.866 , 213.628 , 216.136 , 218.3 , 220.497 , 222.616 , 225.519 , 226.978 , 229.492 , 229.955 , 229.97 , 230.784 , 230.87 , 230.743 , 231.428 , 233.089 , 233.161 , 232.447 , 230.767 , 230.259 , 229.165 , 228.175 , 226.873 , 225.447 , 224.184 , 222.35 , 220.958 , 219.327 , 217.767 , 216.18 , 214.399 , 212.637 , 211.005 , 209.425 , 207.813 , 206.247 , 204.719 , 203.2 , 201.713 , 200.25 , 198.815 , 197.549 , 195.903 , 195.903 , 
25.5 , 25.4264 , 25.4165 , 25.4272 , 25.4608 , 25.5509 , 25.6926 , 25.8338 , 25.9288 , 25.9865 , 26.0423 , 26.1309 , 26.3992 , 26.6972 , 26.9413 , 27.123 , 27.3069 , 29.0411 , 31.1667 , 31.8144 , 33.9929 , 37.0353 , 41.3732 , 45.1345 , 47.7017 , 40.2722 , 50.864 , 62.7443 , 67.706 , 74.0802 , 83.4725 , 104.939 , 104.689 , 116.286 , 132.314 , 125.786 , 117.738 , 131.124 , 139.444 , 141.951 , 162.077 , 181.799 , 138.208 , 157.096 , 175.919 , 173.316 , 171.025 , 170.717 , 167.303 , 166.147 , 161.709 , 133.098 , 76.9209 , 65.6109 , 62.3333 , 62.4509 , 157.126 , 135.1 , 153.659 , 138.347 , 148.987 , 146.924 , 143.972 , 141.463 , 137.973 , 134.341 , 130.88 , 128.498 , 127.816 , 125.025 , 133.237 , 135.4 , 137.745 , 140.974 , 144.509 , 145.298 , 146.026 , 148.241 , 150.979 , 153.972 , 156.828 , 159.149 , 161.354 , 164.539 , 167.58 , 170.251 , 171.119 , 173.185 , 176.512 , 179.522 , 182.328 , 184.863 , 188.079 , 190.501 , 191.159 , 193.46 , 195.213 , 198.098 , 201.018 , 203.159 , 205.293 , 208.521 , 210.918 , 213.681 , 216.188 , 218.349 , 220.545 , 222.662 , 225.569 , 227.02 , 229.538 , 229.986 , 229.988 , 230.801 , 230.881 , 230.748 , 231.437 , 233.108 , 233.173 , 232.447 , 230.752 , 230.247 , 229.148 , 228.157 , 226.851 , 225.422 , 224.159 , 222.32 , 220.93 , 219.297 , 217.736 , 216.149 , 214.367 , 212.603 , 210.972 , 209.393 , 207.78 , 206.215 , 204.688 , 203.169 , 201.682 , 200.22 , 198.785 , 197.52 , 195.873 , 195.873 , 
25.5 , 25.4264 , 25.4165 , 25.4272 , 25.4608 , 25.5509 , 25.6926 , 25.8339 , 25.9289 , 25.9866 , 26.0424 , 26.1311 , 26.3993 , 26.6974 , 26.9415 , 27.1232 , 27.3072 , 29.0416 , 31.1676 , 31.8154 , 33.9943 , 37.0372 , 41.3758 , 45.1379 , 47.7057 , 40.2757 , 50.8674 , 62.7503 , 67.7131 , 74.0883 , 83.482 , 104.951 , 104.702 , 116.299 , 132.33 , 125.803 , 117.753 , 131.139 , 139.461 , 141.968 , 162.095 , 180.182 , 138.223 , 157.111 , 174.911 , 173.257 , 171.039 , 170.682 , 167.341 , 166.18 , 162.58 , 133.08 , 76.9221 , 65.6114 , 62.3329 , 62.4502 , 156.766 , 135.096 , 153.134 , 138.309 , 149.649 , 146.893 , 143.864 , 141.227 , 137.912 , 134.552 , 130.493 , 128.532 , 127.85 , 125.056 , 133.278 , 135.444 , 137.791 , 141.025 , 144.563 , 145.351 , 146.076 , 148.291 , 151.031 , 154.026 , 156.883 , 159.205 , 161.408 , 164.596 , 167.639 , 170.31 , 171.17 , 173.235 , 176.566 , 179.578 , 182.384 , 184.919 , 188.138 , 190.558 , 191.205 , 193.506 , 195.256 , 198.146 , 201.07 , 203.209 , 205.34 , 208.575 , 210.97 , 213.734 , 216.241 , 218.399 , 220.592 , 222.707 , 225.62 , 227.063 , 229.583 , 230.017 , 230.006 , 230.818 , 230.891 , 230.753 , 231.445 , 233.127 , 233.185 , 232.448 , 230.738 , 230.234 , 229.132 , 228.139 , 226.83 , 225.398 , 224.135 , 222.291 , 220.901 , 219.266 , 217.705 , 216.118 , 214.334 , 212.569 , 210.938 , 209.36 , 207.747 , 206.183 , 204.656 , 203.138 , 201.651 , 200.189 , 198.755 , 197.492 , 195.843 , 195.843 , 
25.5 , 25.4264 , 25.4165 , 25.4272 , 25.4608 , 25.5509 , 25.6926 , 25.8339 , 25.9289 , 25.9866 , 26.0425 , 26.1312 , 26.3995 , 26.6976 , 26.9417 , 27.1235 , 27.3075 , 29.0421 , 31.1686 , 31.8165 , 33.9958 , 37.0393 , 41.3785 , 45.1414 , 47.7098 , 40.2795 , 50.8711 , 62.7566 , 67.7207 , 74.097 , 83.4919 , 104.964 , 104.717 , 116.314 , 132.347 , 125.82 , 117.768 , 131.155 , 139.478 , 141.985 , 162.114 , 180.461 , 138.241 , 157.126 , 174.576 , 173.212 , 171.053 , 170.628 , 168.02 , 165.834 , 162.137 , 133.062 , 76.9232 , 65.6118 , 62.3325 , 62.4495 , 157.45 , 135.088 , 152.769 , 138.276 , 149.459 , 146.893 , 144.341 , 140.828 , 138.262 , 134.546 , 130.701 , 128.566 , 127.885 , 125.088 , 133.319 , 135.489 , 137.837 , 141.075 , 144.618 , 145.403 , 146.126 , 148.341 , 151.083 , 154.08 , 156.939 , 159.26 , 161.463 , 164.653 , 167.697 , 170.369 , 171.222 , 173.285 , 176.62 , 179.635 , 182.441 , 184.976 , 188.197 , 190.615 , 191.251 , 193.552 , 195.299 , 198.194 , 201.121 , 203.258 , 205.388 , 208.628 , 211.022 , 213.788 , 216.293 , 218.448 , 220.64 , 222.753 , 225.67 , 227.106 , 229.628 , 230.048 , 230.024 , 230.835 , 230.902 , 230.758 , 231.454 , 233.146 , 233.197 , 232.448 , 230.724 , 230.221 , 229.115 , 228.121 , 226.809 , 225.374 , 224.11 , 222.261 , 220.872 , 219.236 , 217.675 , 216.087 , 214.301 , 212.535 , 210.905 , 209.327 , 207.715 , 206.151 , 204.624 , 203.106 , 201.62 , 200.159 , 198.725 , 197.463 , 195.813 , 195.813 , 
25.5 , 25.4264 , 25.4165 , 25.4271 , 25.4608 , 25.5509 , 25.6927 , 25.834 , 25.929 , 25.9867 , 26.0426 , 26.1313 , 26.3996 , 26.6978 , 26.942 , 27.1238 , 27.3079 , 29.0427 , 31.1695 , 31.8176 , 33.9973 , 37.0414 , 41.3814 , 45.1452 , 47.7142 , 40.2835 , 50.8749 , 62.7631 , 67.7286 , 74.106 , 83.5023 , 104.977 , 104.732 , 116.329 , 132.365 , 125.838 , 117.785 , 131.172 , 139.496 , 142.004 , 162.134 , 180.16 , 138.26 , 157.141 , 174.613 , 173.181 , 171.067 , 170.487 , 167.92 , 165.131 , 161.639 , 133.044 , 76.9243 , 65.6123 , 62.3321 , 62.4488 , 156.727 , 135.077 , 153.262 , 138.248 , 149.268 , 146.627 , 144.234 , 140.863 , 138.143 , 134.077 , 130.336 , 128.6 , 127.92 , 125.119 , 133.36 , 135.533 , 137.884 , 141.126 , 144.673 , 145.456 , 146.176 , 148.391 , 151.135 , 154.134 , 156.995 , 159.316 , 161.518 , 164.71 , 167.756 , 170.428 , 171.274 , 173.335 , 176.674 , 179.691 , 182.498 , 185.032 , 188.256 , 190.672 , 191.297 , 193.598 , 195.342 , 198.241 , 201.173 , 203.307 , 205.435 , 208.681 , 211.074 , 213.841 , 216.346 , 218.498 , 220.687 , 222.799 , 225.721 , 227.149 , 229.674 , 230.079 , 230.042 , 230.852 , 230.912 , 230.762 , 231.462 , 233.166 , 233.209 , 232.449 , 230.71 , 230.208 , 229.098 , 228.103 , 226.788 , 225.349 , 224.085 , 222.232 , 220.843 , 219.206 , 217.644 , 216.056 , 214.268 , 212.501 , 210.871 , 209.294 , 207.682 , 206.118 , 204.593 , 203.075 , 201.589 , 200.128 , 198.695 , 197.435 , 195.783 , 195.783 , 
25.5 , 25.4264 , 25.4165 , 25.4271 , 25.4608 , 25.5509 , 25.6927 , 25.8341 , 25.9291 , 25.9868 , 26.0427 , 26.1314 , 26.3998 , 26.6981 , 26.9423 , 27.1241 , 27.3083 , 29.0432 , 31.1705 , 31.8188 , 33.9989 , 37.0435 , 41.3843 , 45.149 , 47.7187 , 40.2877 , 50.8788 , 62.7698 , 67.7366 , 74.1153 , 83.513 , 104.99 , 104.747 , 116.345 , 132.383 , 125.856 , 117.801 , 131.189 , 139.515 , 142.022 , 162.154 , 181.232 , 138.279 , 157.157 , 174.536 , 173.162 , 171.082 , 169.295 , 166.946 , 164.676 , 161.406 , 133.027 , 76.9253 , 65.6129 , 62.3317 , 62.448 , 157.111 , 135.063 , 153.491 , 138.223 , 149.041 , 146.727 , 143.906 , 141.231 , 137.814 , 134.19 , 130.377 , 128.634 , 127.955 , 125.151 , 133.401 , 135.578 , 137.93 , 141.176 , 144.727 , 145.509 , 146.226 , 148.442 , 151.187 , 154.188 , 157.051 , 159.372 , 161.572 , 164.767 , 167.815 , 170.487 , 171.325 , 173.385 , 176.727 , 179.747 , 182.555 , 185.088 , 188.314 , 190.728 , 191.342 , 193.644 , 195.386 , 198.289 , 201.224 , 203.357 , 205.483 , 208.734 , 211.126 , 213.894 , 216.398 , 218.547 , 220.735 , 222.844 , 225.772 , 227.191 , 229.719 , 230.111 , 230.06 , 230.868 , 230.923 , 230.767 , 231.471 , 233.185 , 233.221 , 232.45 , 230.695 , 230.195 , 229.082 , 228.085 , 226.766 , 225.325 , 224.061 , 222.202 , 220.814 , 219.175 , 217.613 , 216.024 , 214.235 , 212.467 , 210.838 , 209.261 , 207.65 , 206.086 , 204.561 , 203.044 , 201.559 , 200.098 , 198.665 , 197.406 , 195.752 , 195.752 , 
25.5 , 25.4264 , 25.4164 , 25.4271 , 25.4608 , 25.5509 , 25.6927 , 25.8341 , 25.9292 , 25.9869 , 26.0428 , 26.1315 , 26.4 , 26.6983 , 26.9426 , 27.1245 , 27.3087 , 29.0438 , 31.1716 , 31.82 , 34.0005 , 37.0457 , 41.3873 , 45.1529 , 47.7233 , 40.2919 , 50.8828 , 62.7766 , 67.7449 , 74.1247 , 83.5239 , 105.004 , 104.763 , 116.361 , 132.402 , 125.875 , 117.819 , 131.206 , 139.533 , 142.042 , 162.174 , 181.19 , 138.298 , 157.173 , 174.926 , 173.153 , 171.098 , 169.176 , 167.006 , 164.632 , 161.068 , 133.011 , 76.9263 , 65.6134 , 62.3313 , 62.4472 , 156.637 , 135.05 , 153.01 , 138.201 , 148.872 , 146.493 , 143.559 , 140.602 , 137.404 , 134.098 , 130.372 , 128.669 , 127.99 , 125.182 , 133.443 , 135.622 , 137.977 , 141.227 , 144.782 , 145.562 , 146.276 , 148.492 , 151.239 , 154.243 , 157.107 , 159.427 , 161.627 , 164.824 , 167.873 , 170.546 , 171.377 , 173.435 , 176.781 , 179.803 , 182.612 , 185.144 , 188.373 , 190.785 , 191.388 , 193.689 , 195.429 , 198.337 , 201.276 , 203.406 , 205.53 , 208.787 , 211.178 , 213.948 , 216.451 , 218.597 , 220.782 , 222.89 , 225.822 , 227.234 , 229.765 , 230.142 , 230.078 , 230.885 , 230.933 , 230.772 , 231.479 , 233.204 , 233.233 , 232.45 , 230.681 , 230.182 , 229.065 , 228.067 , 226.745 , 225.301 , 224.036 , 222.173 , 220.785 , 219.145 , 217.582 , 215.993 , 214.202 , 212.434 , 210.805 , 209.229 , 207.617 , 206.054 , 204.529 , 203.013 , 201.528 , 200.068 , 198.635 , 197.378 , 195.722 , 195.722 , 
