Time , q_dni , Wind_vel , T_ambient , Q_loss , DeltaH , Eff , T_out , T_in
0 , 0 , 0.2 , 25.5 , 0 , 0 , 0 , 25.5 , 25.5 , 
5 , 0 , 0 , 25.5 , 0.571271 , -0.175509 , 0 , 25.4755 , 25.4763 , 
10 , 0.0189187 , 0 , 25.5 , 0.540103 , -0.207143 , 0 , 25.4747 , 25.4756 , 
15 , 0.0551153 , 0 , 25.5 , 0.573171 , -0.16725 , 0 , 25.474 , 25.4748 , 
20 , 0.15439 , 0.5 , 25.5 , 0.700485 , -0.0479928 , 0 , 25.4739 , 25.4742 , 
25 , 0.3731 , 0 , 25.5 , 0.939857 , 0.266738 , 0.103118 , 25.4752 , 25.474 , 
30 , 0.669596 , 0 , 25.5 , 1.39036 , 0.758808 , 0.163454 , 25.4785 , 25.475 , 
35 , 0.821121 , 0 , 25.6 , 1.51551 , 1.24423 , 0.218559 , 25.4837 , 25.4779 , 
40 , 0.916611 , 0 , 25.6 , 1.83431 , 1.56126 , 0.245679 , 25.49 , 25.4827 , 
45 , 0.926977 , 0 , 25.7 , 1.68113 , 1.7426 , 0.271148 , 25.497 , 25.4888 , 
50 , 0.978973 , 0 , 25.8 , 1.52248 , 1.91403 , 0.282004 , 25.5046 , 25.4956 , 
55 , 1.12814 , 0 , 25.9 , 1.47338 , 2.19743 , 0.280949 , 25.5134 , 25.5031 , 
60 , 1.77623 , 1.1 , 26 , 1.65216 , 3.09985 , 0.251721 , 25.5263 , 25.5117 , 
65 , 1.90384 , 0 , 26.3 , 1.99152 , 4.10805 , 0.31123 , 25.5431 , 25.5237 , 
70 , 2.31644 , 0 , 26.5 , 2.12061 , 4.90359 , 0.305331 , 25.5628 , 25.5397 , 
75 , 2.24691 , 0 , 26.8 , 1.67785 , 5.47714 , 0.351597 , 25.5846 , 25.5587 , 
80 , 2.59787 , 0.4 , 26.7 , 2.05542 , 6.04647 , 0.335708 , 25.6087 , 25.5802 , 
85 , 8.18501 , 0.6 , 26.8 , 5.88845 , 11.9796 , 0.211106 , 25.661 , 25.6045 , 
90 , 10.2405 , 0 , 27.1 , 16.5004 , 19.2951 , 0.27177 , 25.7408 , 25.6499 , 
95 , 10.665 , 0 , 27.5 , 17.5605 , 21.3103 , 0.288208 , 25.8243 , 25.7239 , 
100 , 15.4079 , 0.3 , 27.8 , 15.4793 , 28.6159 , 0.26788 , 25.9435 , 25.8086 , 
105 , 21.0308 , 0 , 27.7 , 40.7367 , 38.875 , 0.26662 , 26.1031 , 25.9199 , 
110 , 29.8409 , 0.1 , 28.2 , 33.5729 , 53.4768 , 0.258482 , 26.3233 , 26.0714 , 
115 , 33.3593 , 0.4 , 28.7 , 42.5918 , 65.9555 , 0.285175 , 26.5891 , 26.2785 , 
120 , 36.6274 , 0.1 , 28.6 , 50.0756 , 73.9849 , 0.291349 , 26.8843 , 26.536 , 
125 , 4.04215 , 0.3 , 28.5 , 29.9707 , 47.4116 , 0.98 , 27.045 , 26.8219 , 
130 , 67.9272 , 0.2 , 28.6 , 59.1299 , 82.8193 , 0.175859 , 27.4156 , 27.026 , 
135 , 60.4051 , 0.4 , 28.6 , 95.9689 , 123.783 , 0.295572 , 27.9121 , 27.3302 , 
140 , 72.172 , 0 , 28.9 , 212.177 , 139.377 , 0.278548 , 28.4724 , 27.8177 , 
145 , 82.8068 , 0.5 , 29.3 , 133.189 , 159.578 , 0.277961 , 29.11 , 28.3611 , 
150 , 104.574 , 1.4 , 29.2 , 168.728 , 189.979 , 0.262034 , 29.8759 , 28.9852 , 
155 , 163.129 , 0.4 , 29.4 , 259.955 , 261.739 , 0.231427 , 30.9548 , 29.7293 , 
160 , 110.498 , 0.1 , 29.9 , 257.804 , 258.023 , 0.336806 , 31.9356 , 30.7293 , 
165 , 184.33 , 0.6 , 30 , 313.787 , 293.644 , 0.229774 , 33.1326 , 31.762 , 
170 , 195.563 , 1.9 , 30 , 400.676 , 345.412 , 0.254758 , 34.4993 , 32.89 , 
175 , 151.297 , 0.4 , 29.9 , 364.515 , 318.196 , 0.303348 , 35.7102 , 34.2305 , 
180 , 146.292 , 2.5 , 30.7 , 319.592 , 285.189 , 0.281184 , 36.8078 , 35.4839 , 
185 , 197.144 , 0.4 , 30.2 , 393.211 , 327.068 , 0.239294 , 38.1219 , 36.6063 , 
190 , 190.317 , 0 , 30.7 , 797.136 , 351.717 , 0.266558 , 39.4922 , 37.8656 , 
195 , 195.782 , 1.3 , 31.1 , 455.178 , 354.892 , 0.261457 , 40.874 , 39.236 , 
