Time , q_dni , Wind_vel , T_ambient , Q_loss , DeltaH , Eff , T_out , T_in
0 , 0 , 0.2 , 25.5 , 0 , 0 , 0 , 25.5 , 25.5 , 
5 , 0 , 0 , 25.5 , 0.755579 , 0.0387266 , 0.0929776 , 25.4766 , 25.4765 , 
10 , 0.0189187 , 0 , 25.5 , 0.726518 , 0.00365191 , 0.00995313 , 25.4766 , 25.4766 , 
15 , 0.0551153 , 0 , 25.5 , 0.7075 , -0.0188569 , 0 , 25.4765 , 25.4766 , 
20 , 0.15439 , 0.5 , 25.5 , 0.723754 , -0.0198962 , 0 , 25.4764 , 25.4765 , 
25 , 0.3731 , 0 , 25.5 , 0.743302 , 0.0238715 , 0.0603544 , 25.4765 , 25.4764 , 
30 , 0.669596 , 0 , 25.5 , 0.832556 , 0.133612 , 0.24298 , 25.477 , 25.4766 , 
35 , 0.821121 , 0 , 25.6 , 0.667219 , 0.295918 , 0.470064 , 25.4782 , 25.4771 , 
40 , 0.916611 , 0 , 25.6 , 0.818084 , 0.474629 , 0.53711 , 25.48 , 25.4784 , 
45 , 0.926977 , 0 , 25.7 , 0.665774 , 0.647896 , 0.660591 , 25.4826 , 25.4803 , 
50 , 0.978973 , 0 , 25.8 , 0.502795 , 0.817253 , 0.764752 , 25.4858 , 25.4829 , 
55 , 1.12814 , 0 , 25.9 , 0.351469 , 1.00233 , 0.850827 , 25.4897 , 25.4861 , 
60 , 1.77623 , 1.1 , 26 , 0.39507 , 1.27725 , 0.866059 , 25.4946 , 25.4901 , 
65 , 1.90384 , 0 , 26.3 , 0 , 1.65755 , 0.98 , 25.501 , 25.4952 , 
70 , 2.31644 , 0 , 26.5 , 0 , 2.10379 , 0.98 , 25.5092 , 25.5018 , 
75 , 2.24691 , 0 , 26.8 , 0 , 2.56852 , 0.98 , 25.5192 , 25.5101 , 
80 , 2.59787 , 0.4 , 26.7 , 0 , 2.99759 , 0.98 , 25.5308 , 25.5202 , 
