t= 0 , t= 5 , t= 10 , t= 15 , t= 20 , t= 25 , t= 30 , t= 35 , t= 40 , t= 45 , t= 50 , t= 55 , t= 60 , t= 65 , t= 70 , t= 75 , t= 80 , t= 85 , t= 90 , t= 95 , t= 100 , t= 105 , t= 110 , t= 115 , t= 120 , t= 125 , t= 130 , t= 135 , t= 140 , t= 145 , t= 150 , t= 155 , t= 160 , t= 165 , t= 170 , t= 175 , t= 180 , t= 185 , t= 190 , t= 195 , t= 200 , t= 205 , t= 210 , t= 215 , t= 220 , t= 225 , t= 230 , t= 235 , t= 240 , t= 245 , t= 250 , t= 255 , t= 260 , t= 265 , t= 270 , t= 275 , t= 280 , t= 285 , t= 290 , t= 295 , t= 300 , t= 305 , t= 310 , t= 315 , t= 320 , t= 325 , t= 330 , t= 335 , t= 340 , t= 345 , t= 350 , t= 355 , t= 360 , t= 365 , t= 370 , t= 375 , t= 380 , t= 385 , t= 390 , t= 395 , t= 400 , t= 405 , t= 410 , t= 415 , t= 420 , t= 425 , t= 430 , t= 435 , t= 440 , t= 445 , t= 450 , t= 455 , t= 460 , t= 465 , t= 470 , t= 475 , t= 480 , t= 485 , t= 490 , t= 495 , t= 500 , t= 505 , t= 510 , t= 515 , t= 520 , t= 525 , t= 530 , t= 535 , t= 540 , t= 545 , t= 550 , t= 555 , t= 560 , t= 565 , t= 570 , t= 575 , t= 580 , t= 585 , t= 590 , t= 595 , t= 600 , t= 605 , t= 610 , t= 615 , t= 620 , t= 625 , t= 630 , t= 635 , t= 640 , t= 645 , t= 650 , t= 655 , t= 660 , t= 665 , t= 670 , t= 675 , t= 680 , t= 685 , t= 690 , t= 695 , t= 700 , t= 705 , t= 710 , t= 715 , t= 720 , t= 725 , 
25.5 , 25.4763 , 25.4756 , 25.4748 , 25.4742 , 25.474 , 25.475 , 25.4779 , 25.4827 , 25.4888 , 25.4956 , 25.5031 , 25.5117 , 25.5237 , 25.5397 , 25.5587 , 25.5802 , 25.6045 , 25.6499 , 25.7239 , 25.8086 , 25.9199 , 26.0714 , 26.2785 , 26.536 , 26.8219 , 27.026 , 27.3302 , 27.8177 , 28.3611 , 28.9852 , 29.7293 , 30.7293 , 31.762 , 32.89 , 34.2305 , 35.4839 , 36.6063 , 37.8656 , 39.236 , 40.6229 , 42.2777 , 45.349 , 46.5151 , 47.9694 , 50.021 , 51.6648 , 53.3152 , 55.5668 , 57.922 , 61.6 , 65.6334 , 66.3696 , 66.5332 , 66.5274 , 66.4725 , 66.4804 , 69.434 , 70.1995 , 73.6666 , 74.4229 , 76.6493 , 79.5359 , 82.52 , 85.7902 , 89.4386 , 93.329 , 96.8563 , 100.253 , 103.281 , 105.788 , 109.11 , 112.542 , 115.995 , 119.657 , 123.477 , 126.978 , 130.147 , 133.261 , 136.439 , 139.719 , 143.049 , 146.307 , 149.48 , 152.753 , 156.069 , 159.361 , 162.211 , 164.952 , 167.903 , 170.973 , 174.069 , 177.13 , 180.299 , 183.3 , 185.739 , 188.118 , 190.377 , 192.902 , 195.6 , 198.195 , 200.731 , 203.519 , 206.272 , 209.079 , 211.831 , 214.423 , 216.905 , 219.309 , 221.865 , 224.129 , 226.408 , 227.963 , 228.899 , 229.712 , 230.216 , 230.486 , 230.959 , 231.853 , 232.401 , 232.356 , 231.668 , 230.989 , 230.156 , 229.24 , 228.171 , 226.971 , 225.723 , 224.287 , 222.859 , 221.377 , 219.88 , 218.36 , 216.767 , 215.138 , 213.528 , 211.95 , 210.386 , 208.843 , 207.327 , 205.832 , 204.361 , 202.914 , 201.496 , 200.129 , 200.129 , 
25.5 , 25.4763 , 25.4756 , 25.4748 , 25.4742 , 25.474 , 25.475 , 25.478 , 25.4828 , 25.4889 , 25.4958 , 25.5033 , 25.512 , 25.5241 , 25.5402 , 25.5593 , 25.5808 , 25.6057 , 25.6518 , 25.7259 , 25.8114 , 25.9237 , 26.0766 , 26.2848 , 26.5432 , 26.8264 , 27.0342 , 27.3422 , 27.8312 , 28.3764 , 29.0035 , 29.7546 , 30.7539 , 31.7903 , 32.9231 , 34.2607 , 35.5111 , 36.6375 , 37.899 , 39.2696 , 40.6626 , 42.3229 , 45.3785 , 46.5508 , 48.0109 , 50.0604 , 51.7027 , 53.352 , 55.6025 , 57.9585 , 61.6425 , 65.6534 , 66.3726 , 66.5329 , 66.5261 , 66.4713 , 66.5203 , 69.4526 , 70.3955 , 73.685 , 74.5878 , 76.8028 , 79.5615 , 82.5432 , 85.9049 , 89.5545 , 93.3591 , 96.9356 , 100.324 , 103.336 , 105.867 , 109.189 , 112.622 , 116.079 , 119.745 , 123.556 , 127.049 , 130.217 , 133.333 , 136.513 , 139.794 , 143.122 , 146.377 , 149.553 , 152.827 , 156.143 , 159.424 , 162.271 , 165.017 , 167.97 , 171.041 , 174.136 , 177.2 , 180.365 , 183.352 , 185.791 , 188.166 , 190.432 , 192.96 , 195.656 , 198.248 , 200.791 , 203.577 , 206.332 , 209.138 , 211.886 , 214.475 , 216.955 , 219.365 , 221.911 , 224.178 , 226.441 , 227.981 , 228.917 , 229.723 , 230.221 , 230.495 , 230.98 , 231.865 , 232.402 , 232.341 , 231.655 , 230.972 , 230.137 , 229.219 , 228.146 , 226.946 , 225.693 , 224.258 , 222.828 , 221.346 , 219.849 , 218.326 , 216.733 , 215.104 , 213.496 , 211.918 , 210.353 , 208.811 , 207.296 , 205.802 , 204.331 , 202.884 , 201.467 , 200.099 , 200.099 , 
25.5 , 25.4763 , 25.4756 , 25.4748 , 25.4742 , 25.474 , 25.4751 , 25.4781 , 25.483 , 25.4891 , 25.4959 , 25.5035 , 25.5123 , 25.5245 , 25.5406 , 25.5598 , 25.5814 , 25.6069 , 25.6536 , 25.728 , 25.8142 , 25.9274 , 26.0818 , 26.2912 , 26.5503 , 26.8308 , 27.0423 , 27.3541 , 27.8446 , 28.3918 , 29.0218 , 29.7799 , 30.7786 , 31.8185 , 32.9562 , 34.291 , 35.5382 , 36.6686 , 37.9323 , 39.3032 , 40.7023 , 42.3691 , 45.4081 , 46.5865 , 48.0547 , 50.0997 , 51.7406 , 53.389 , 55.6408 , 58.002 , 61.7395 , 65.6734 , 66.3757 , 66.5326 , 66.5248 , 66.4701 , 66.5749 , 69.4713 , 70.435 , 73.7033 , 74.7185 , 76.7959 , 79.5969 , 82.576 , 85.9285 , 89.6646 , 93.4694 , 97.0149 , 100.394 , 103.391 , 105.946 , 109.268 , 112.702 , 116.163 , 119.834 , 123.636 , 127.121 , 130.288 , 133.405 , 136.587 , 139.869 , 143.195 , 146.448 , 149.627 , 152.902 , 156.217 , 159.486 , 162.331 , 165.082 , 168.038 , 171.109 , 174.202 , 177.269 , 180.432 , 183.403 , 185.843 , 188.215 , 190.486 , 193.019 , 195.711 , 198.302 , 200.851 , 203.636 , 206.392 , 209.196 , 211.94 , 214.528 , 217.005 , 219.42 , 221.958 , 224.228 , 226.474 , 228 , 228.935 , 229.734 , 230.226 , 230.504 , 231 , 231.878 , 232.402 , 232.326 , 231.642 , 230.955 , 230.119 , 229.197 , 228.121 , 226.921 , 225.663 , 224.228 , 222.797 , 221.315 , 219.817 , 218.293 , 216.699 , 215.07 , 213.463 , 211.885 , 210.321 , 208.78 , 207.264 , 205.771 , 204.3 , 202.854 , 201.439 , 200.069 , 200.069 , 
25.5 , 25.4762 , 25.4756 , 25.4748 , 25.4742 , 25.474 , 25.4752 , 25.4782 , 25.4831 , 25.4893 , 25.4961 , 25.5037 , 25.5126 , 25.5249 , 25.5411 , 25.5603 , 25.582 , 25.608 , 25.6555 , 25.7301 , 25.8169 , 25.9312 , 26.087 , 26.2976 , 26.5575 , 26.8353 , 27.0504 , 27.366 , 27.858 , 28.4072 , 29.0401 , 29.8051 , 30.8032 , 31.8467 , 32.9892 , 34.3213 , 35.5653 , 36.6998 , 37.9657 , 39.3368 , 40.7419 , 42.4165 , 45.4377 , 46.6222 , 48.1006 , 50.139 , 51.7785 , 53.4267 , 55.6827 , 58.0547 , 62.0121 , 65.6934 , 66.3787 , 66.5323 , 66.5235 , 66.4688 , 66.677 , 69.49 , 70.5074 , 73.7217 , 74.8238 , 76.809 , 79.6641 , 82.6183 , 85.9774 , 89.7527 , 93.5753 , 97.0942 , 100.465 , 103.445 , 106.025 , 109.347 , 112.782 , 116.246 , 119.922 , 123.715 , 127.192 , 130.358 , 133.476 , 136.661 , 139.944 , 143.268 , 146.518 , 149.7 , 152.977 , 156.29 , 159.548 , 162.39 , 165.147 , 168.105 , 171.176 , 174.268 , 177.339 , 180.498 , 183.455 , 185.895 , 188.264 , 190.54 , 193.077 , 195.767 , 198.355 , 200.911 , 203.694 , 206.451 , 209.255 , 211.995 , 214.58 , 217.055 , 219.476 , 222.004 , 224.278 , 226.507 , 228.018 , 228.952 , 229.745 , 230.231 , 230.513 , 231.021 , 231.89 , 232.402 , 232.311 , 231.628 , 230.938 , 230.1 , 229.175 , 228.096 , 226.896 , 225.633 , 224.199 , 222.767 , 221.284 , 219.786 , 218.26 , 216.665 , 215.037 , 213.43 , 211.852 , 210.289 , 208.748 , 207.233 , 205.74 , 204.27 , 202.824 , 201.41 , 200.039 , 200.039 , 
25.5 , 25.4762 , 25.4756 , 25.4748 , 25.4741 , 25.4741 , 25.4753 , 25.4783 , 25.4833 , 25.4894 , 25.4963 , 25.5039 , 25.5129 , 25.5253 , 25.5416 , 25.5608 , 25.5826 , 25.6092 , 25.6574 , 25.7321 , 25.8197 , 25.935 , 26.0921 , 26.304 , 26.5646 , 26.8398 , 27.0584 , 27.378 , 27.8715 , 28.4225 , 29.0584 , 29.8303 , 30.8279 , 31.8749 , 33.0222 , 34.3515 , 35.5925 , 36.731 , 37.999 , 39.3704 , 40.7816 , 42.4654 , 45.4672 , 46.6578 , 48.1483 , 50.1783 , 51.8164 , 53.4655 , 55.7314 , 58.1146 , 62.217 , 65.7135 , 66.3817 , 66.532 , 66.5222 , 66.4676 , 66.8019 , 69.5087 , 70.5994 , 73.74 , 74.9108 , 76.8656 , 79.8359 , 82.6904 , 86.1149 , 89.848 , 93.6129 , 97.1735 , 100.535 , 103.5 , 106.104 , 109.426 , 112.861 , 116.33 , 120.01 , 123.795 , 127.263 , 130.428 , 133.548 , 136.735 , 140.019 , 143.341 , 146.588 , 149.773 , 153.052 , 156.364 , 159.61 , 162.45 , 165.212 , 168.173 , 171.244 , 174.335 , 177.408 , 180.564 , 183.507 , 185.947 , 188.312 , 190.595 , 193.136 , 195.823 , 198.408 , 200.971 , 203.752 , 206.511 , 209.313 , 212.049 , 214.632 , 217.105 , 219.532 , 222.05 , 224.327 , 226.54 , 228.037 , 228.97 , 229.755 , 230.236 , 230.522 , 231.041 , 231.903 , 232.403 , 232.296 , 231.615 , 230.921 , 230.082 , 229.153 , 228.072 , 226.871 , 225.603 , 224.17 , 222.736 , 221.253 , 219.755 , 218.227 , 216.631 , 215.003 , 213.397 , 211.82 , 210.256 , 208.716 , 207.202 , 205.709 , 204.24 , 202.794 , 201.382 , 200.009 , 200.009 , 
25.5 , 25.4762 , 25.4755 , 25.4748 , 25.4741 , 25.4741 , 25.4753 , 25.4785 , 25.4834 , 25.4896 , 25.4965 , 25.5041 , 25.5132 , 25.5257 , 25.5421 , 25.5614 , 25.5832 , 25.6104 , 25.6592 , 25.7342 , 25.8225 , 25.9387 , 26.0973 , 26.3103 , 26.5717 , 26.8443 , 27.0665 , 27.3899 , 27.8849 , 28.4379 , 29.0767 , 29.8556 , 30.8525 , 31.9031 , 33.0552 , 34.3818 , 35.6196 , 36.7621 , 38.0324 , 39.404 , 40.8212 , 42.5922 , 45.4969 , 46.6935 , 48.1966 , 50.2175 , 51.8542 , 53.5055 , 55.7899 , 58.1792 , 62.1776 , 65.7335 , 66.3848 , 66.5317 , 66.5209 , 66.4664 , 67.069 , 69.5274 , 70.8297 , 73.7583 , 74.847 , 76.9444 , 79.9697 , 82.7768 , 86.2308 , 89.9312 , 93.7263 , 97.2527 , 100.605 , 103.555 , 106.183 , 109.505 , 112.941 , 116.413 , 120.098 , 123.874 , 127.334 , 130.498 , 133.62 , 136.809 , 140.094 , 143.414 , 146.659 , 149.846 , 153.127 , 156.438 , 159.672 , 162.51 , 165.277 , 168.24 , 171.312 , 174.401 , 177.477 , 180.631 , 183.558 , 185.999 , 188.361 , 190.649 , 193.194 , 195.878 , 198.461 , 201.031 , 203.81 , 206.571 , 209.372 , 212.104 , 214.685 , 217.155 , 219.588 , 222.096 , 224.377 , 226.572 , 228.056 , 228.988 , 229.766 , 230.241 , 230.531 , 231.061 , 231.915 , 232.403 , 232.281 , 231.602 , 230.904 , 230.064 , 229.132 , 228.047 , 226.846 , 225.573 , 224.141 , 222.706 , 221.223 , 219.723 , 218.194 , 216.597 , 214.97 , 213.364 , 211.787 , 210.224 , 208.684 , 207.17 , 205.678 , 204.209 , 202.764 , 201.353 , 199.979 , 199.979 , 
25.5 , 25.4762 , 25.4755 , 25.4747 , 25.4741 , 25.4741 , 25.4754 , 25.4786 , 25.4836 , 25.4898 , 25.4967 , 25.5043 , 25.5135 , 25.5261 , 25.5425 , 25.5619 , 25.5837 , 25.6115 , 25.6611 , 25.7362 , 25.8253 , 25.9425 , 26.1025 , 26.3167 , 26.5789 , 26.8488 , 27.0746 , 27.4018 , 27.8983 , 28.4533 , 29.095 , 29.8808 , 30.8771 , 31.9313 , 33.0883 , 34.412 , 35.6467 , 36.7932 , 38.0657 , 39.4376 , 40.8608 , 42.6863 , 45.5265 , 46.7291 , 48.2452 , 50.2567 , 51.8921 , 53.5469 , 55.8557 , 58.2491 , 62.1726 , 65.7535 , 66.3878 , 66.5314 , 66.5196 , 66.4652 , 67.1057 , 69.5462 , 71.0135 , 73.7767 , 74.8146 , 77.0327 , 79.9658 , 82.9532 , 86.2592 , 89.9487 , 93.7695 , 97.3319 , 100.676 , 103.61 , 106.261 , 109.584 , 113.02 , 116.497 , 120.186 , 123.954 , 127.405 , 130.568 , 133.691 , 136.883 , 140.169 , 143.487 , 146.729 , 149.919 , 153.201 , 156.512 , 159.735 , 162.569 , 165.342 , 168.307 , 171.38 , 174.467 , 177.547 , 180.697 , 183.61 , 186.051 , 188.409 , 190.703 , 193.253 , 195.934 , 198.515 , 201.091 , 203.868 , 206.63 , 209.43 , 212.159 , 214.737 , 217.205 , 219.643 , 222.143 , 224.427 , 226.605 , 228.074 , 229.005 , 229.777 , 230.245 , 230.54 , 231.082 , 231.928 , 232.403 , 232.266 , 231.589 , 230.887 , 230.045 , 229.11 , 228.022 , 226.82 , 225.543 , 224.111 , 222.675 , 221.192 , 219.692 , 218.161 , 216.563 , 214.936 , 213.331 , 211.754 , 210.192 , 208.653 , 207.139 , 205.647 , 204.179 , 202.734 , 201.325 , 199.948 , 199.948 , 
25.5 , 25.4762 , 25.4755 , 25.4747 , 25.4741 , 25.4742 , 25.4755 , 25.4787 , 25.4837 , 25.4899 , 25.4969 , 25.5046 , 25.5138 , 25.5265 , 25.543 , 25.5624 , 25.5843 , 25.6127 , 25.663 , 25.7383 , 25.828 , 25.9463 , 26.1077 , 26.3231 , 26.586 , 26.8533 , 27.0827 , 27.4137 , 27.9117 , 28.4686 , 29.1132 , 29.906 , 30.9018 , 31.9595 , 33.1213 , 34.4423 , 35.6738 , 36.8243 , 38.099 , 39.4711 , 40.9004 , 42.7818 , 45.5561 , 46.7646 , 48.2933 , 50.2958 , 51.9299 , 53.5898 , 55.9243 , 58.3354 , 62.2397 , 65.7736 , 66.3909 , 66.5311 , 66.5184 , 66.4639 , 67.1898 , 69.5649 , 71.0451 , 73.795 , 74.815 , 77.2226 , 79.981 , 83.0975 , 86.3124 , 90.0709 , 93.8857 , 97.4111 , 100.746 , 103.665 , 106.34 , 109.663 , 113.1 , 116.58 , 120.274 , 124.033 , 127.477 , 130.639 , 133.763 , 136.957 , 140.244 , 143.56 , 146.799 , 149.993 , 153.276 , 156.585 , 159.797 , 162.629 , 165.407 , 168.375 , 171.448 , 174.533 , 177.616 , 180.763 , 183.661 , 186.103 , 188.458 , 190.757 , 193.311 , 195.989 , 198.568 , 201.151 , 203.927 , 206.69 , 209.488 , 212.213 , 214.789 , 217.255 , 219.699 , 222.189 , 224.476 , 226.638 , 228.093 , 229.023 , 229.788 , 230.25 , 230.549 , 231.102 , 231.94 , 232.404 , 232.251 , 231.576 , 230.87 , 230.027 , 229.088 , 227.997 , 226.795 , 225.513 , 224.082 , 222.644 , 221.161 , 219.661 , 218.128 , 216.529 , 214.903 , 213.299 , 211.722 , 210.16 , 208.621 , 207.108 , 205.616 , 204.148 , 202.704 , 201.296 , 199.918 , 199.918 , 
25.5 , 25.4762 , 25.4755 , 25.4747 , 25.4741 , 25.4742 , 25.4756 , 25.4788 , 25.4839 , 25.4901 , 25.4971 , 25.5048 , 25.5141 , 25.5269 , 25.5435 , 25.563 , 25.5849 , 25.6139 , 25.6648 , 25.7403 , 25.8308 , 25.95 , 26.1128 , 26.3294 , 26.5931 , 26.8578 , 27.0907 , 27.4257 , 27.9252 , 28.484 , 29.1315 , 29.9312 , 30.9264 , 31.9876 , 33.1543 , 34.4725 , 35.7009 , 36.8555 , 38.1324 , 39.5047 , 40.94 , 42.8721 , 45.5858 , 46.8002 , 48.3404 , 50.335 , 51.9677 , 53.649 , 56.006 , 58.479 , 62.3461 , 65.7936 , 66.3939 , 66.5308 , 66.5171 , 66.4627 , 67.265 , 69.5836 , 71.0798 , 73.8133 , 74.8431 , 77.2656 , 80.0344 , 83.1364 , 86.4512 , 90.1884 , 93.9939 , 97.4903 , 100.817 , 103.72 , 106.419 , 109.742 , 113.18 , 116.664 , 120.362 , 124.113 , 127.548 , 130.709 , 133.834 , 137.03 , 140.319 , 143.633 , 146.869 , 150.066 , 153.35 , 156.659 , 159.859 , 162.688 , 165.472 , 168.442 , 171.515 , 174.6 , 177.685 , 180.829 , 183.713 , 186.155 , 188.507 , 190.811 , 193.37 , 196.045 , 198.621 , 201.211 , 203.985 , 206.75 , 209.547 , 212.268 , 214.841 , 217.305 , 219.754 , 222.235 , 224.526 , 226.671 , 228.112 , 229.041 , 229.799 , 230.255 , 230.558 , 231.123 , 231.953 , 232.404 , 232.236 , 231.562 , 230.853 , 230.009 , 229.066 , 227.973 , 226.77 , 225.483 , 224.053 , 222.614 , 221.13 , 219.63 , 218.095 , 216.495 , 214.869 , 213.266 , 211.689 , 210.127 , 208.589 , 207.076 , 205.585 , 204.118 , 202.674 , 201.268 , 199.888 , 199.888 , 
25.5 , 25.4761 , 25.4755 , 25.4747 , 25.4741 , 25.4742 , 25.4756 , 25.4789 , 25.484 , 25.4903 , 25.4972 , 25.505 , 25.5144 , 25.5273 , 25.544 , 25.5635 , 25.5855 , 25.615 , 25.6667 , 25.7424 , 25.8336 , 25.9538 , 26.118 , 26.3358 , 26.6003 , 26.8624 , 27.0988 , 27.4376 , 27.9386 , 28.4993 , 29.1498 , 29.9563 , 30.951 , 32.0158 , 33.1872 , 34.5028 , 35.728 , 36.8866 , 38.1657 , 39.5382 , 40.9796 , 42.9535 , 45.6154 , 46.8357 , 48.3864 , 50.3741 , 52.0055 , 53.7284 , 56.1017 , 58.6445 , 62.6228 , 65.8137 , 66.397 , 66.5305 , 66.5158 , 66.4615 , 67.3741 , 69.6024 , 71.1555 , 73.8316 , 74.9184 , 77.4233 , 80.1957 , 83.2778 , 86.5821 , 90.2977 , 94.0945 , 97.5694 , 100.887 , 103.775 , 106.498 , 109.821 , 113.259 , 116.747 , 120.45 , 124.192 , 127.619 , 130.779 , 133.906 , 137.104 , 140.394 , 143.705 , 146.94 , 150.139 , 153.425 , 156.733 , 159.921 , 162.748 , 165.537 , 168.509 , 171.583 , 174.666 , 177.755 , 180.896 , 183.764 , 186.206 , 188.555 , 190.866 , 193.428 , 196.1 , 198.674 , 201.271 , 204.043 , 206.809 , 209.605 , 212.322 , 214.893 , 217.355 , 219.81 , 222.282 , 224.575 , 226.704 , 228.13 , 229.058 , 229.81 , 230.26 , 230.567 , 231.143 , 231.965 , 232.405 , 232.221 , 231.549 , 230.836 , 229.99 , 229.045 , 227.948 , 226.745 , 225.454 , 224.024 , 222.583 , 221.099 , 219.598 , 218.062 , 216.461 , 214.836 , 213.233 , 211.656 , 210.095 , 208.558 , 207.045 , 205.555 , 204.088 , 202.644 , 201.239 , 199.858 , 199.858 , 
